"Accident_ID","النوع","التاريخ","السرعة","ع.اصابات بسيطة","ع.اصابات بليغة","ع.اصابات الوفاه","ع.اصابات متوسطة","مسارب الطريق","سطح الطريق","جنسية المركبة","فئه الرخصه","نوع الطريق","الاضائة","الطقس","خصائص طريق","خطأ السائق","محافظه","فئة المركبة","تاريخ الحادث","عدد المركبات","عمرالسائق","جنس السائق"
"1547376","صدم","12/2/2017 18:00","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","مبتل","الأردن","فئة رابعة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","مخالفات قواعد واولويات المرور","محافظة العاصمة عمان","سيارة ركوب صغيرة","12/2/2017 18:00","2","37","ذكر"
"1547671","صدم","2/13/2017 9:59:00 AM","40","0","0","0","0","داخل كراج","مبتل","الأردن","فئة خامسة","إسفلتي","نهار","مطر","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","ركوب متوسطة","2/13/2017 9:59:00 AM","2","38","ذكر"
"1547671","صدم","2/13/2017 9:59:00 AM","40","0","0","0","0","داخل كراج","مبتل","الأردن","فئة ثالثة","إسفلتي","نهار","مطر","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/13/2017 9:59:00 AM","2","48","ذكر"
"1548436","صدم","2/15/2017 1:18:00 AM","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة ثالثة اتوماتيك","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/15/2017 1:18:00 AM","2","24","ذكر"
"1548436","صدم","2/15/2017 1:18:00 AM","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","مبتل","الأردن","فئة ثالثة اتوماتيك","إسفلتي","ليل وطريق بإضاءة كافية","مطر","مستقيم مستوي","عدم تقيد السائق بالشواخص الالزامية","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/15/2017 1:18:00 AM","2","117",""
"1549937","صدم","2/19/2017 10:38:00 AM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","تغير مسرب بشكل مفاجئ","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/19/2017 10:38:00 AM","2","63","ذكر"
"1549937","صدم","2/19/2017 10:38:00 AM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة سادسة (ب)","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","حافلة","2/19/2017 10:38:00 AM","2","33","ذكر"
"1550455","صدم","2/20/2017 1:39:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/20/2017 1:39:00 PM","2","39","ذكر"
"1551366","صدم","2/22/2017 9:17:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","عدم تقيد السائق بالشواخص الالزامية","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/22/2017 9:17:00 PM","2","51","ذكر"
"1551366","صدم","2/22/2017 9:17:00 PM","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/22/2017 9:17:00 PM","2","32","ذكر"
"1551738","صدم","2/23/2017 7:17:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","مخالفات قواعد واولويات المرور","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/23/2017 7:17:00 PM","2","69","انثى"
"1551738","صدم","2/23/2017 7:17:00 PM","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","0","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/23/2017 7:17:00 PM","2","117",""
